datum,Baugewerbe,Bergbau,Dienstleistungen,Energieversorgung,Erziehung,Finanzleistungen,Gastgewerbe,IT,Manufaktur,Sonstiges,Sozialwesen,Verkehr,Wohnungswesen
2015-05-01 00:00:00 UTC,6,0,9,0,2,4,6,2,8,2,2,7,0
2014-06-01 00:00:00 UTC,8,0,4,4,2,3,5,1,3,1,1,10,2
2012-11-01 00:00:00 UTC,9,0,6,0,2,3,7,2,4,2,1,7,3
2014-03-01 00:00:00 UTC,9,0,5,1,2,3,7,4,7,3,0,9,1
2014-05-01 00:00:00 UTC,10,0,6,1,2,8,11,3,3,1,2,8,2
2019-05-01 00:00:00 UTC,10,0,4,0,2,2,7,1,2,3,1,5,0
2013-04-01 00:00:00 UTC,11,0,8,0,2,1,12,1,2,3,2,8,1
2014-12-01 00:00:00 UTC,11,0,3,2,2,5,8,4,6,1,1,7,0
2019-12-01 00:00:00 UTC,11,0,4,0,2,2,8,0,6,0,1,2,0
2010-09-01 00:00:00 UTC,12,0,5,0,2,4,9,2,7,1,2,9,0
2014-08-01 00:00:00 UTC,12,0,4,0,2,3,2,0,1,3,0,11,0
2015-07-01 00:00:00 UTC,12,0,7,1,2,1,7,2,2,1,3,7,2
2019-01-01 00:00:00 UTC,12,0,8,0,2,0,1,1,5,4,2,2,2
2008-06-01 00:00:00 UTC,13,0,6,0,2,0,8,2,5,4,1,7,3
2009-07-01 00:00:00 UTC,13,0,1,1,2,2,8,2,5,1,2,9,0
2008-07-01 00:00:00 UTC,15,0,4,0,2,1,8,3,11,2,2,8,3
2009-08-01 00:00:00 UTC,15,0,6,0,2,2,10,2,7,1,0,15,4
2011-07-01 00:00:00 UTC,15,0,6,2,2,5,8,2,3,1,2,3,4
2017-07-01 00:00:00 UTC,15,0,8,1,2,6,3,1,6,0,2,9,4
2009-06-01 00:00:00 UTC,16,0,7,0,2,1,2,6,7,3,4,5,1
2011-05-01 00:00:00 UTC,16,0,6,0,2,2,6,1,3,3,1,10,1
2010-03-01 00:00:00 UTC,21,0,2,0,2,1,9,1,8,3,1,9,4
2013-06-01 00:00:00 UTC,6,0,3,2,3,4,6,3,3,2,3,12,0
2018-10-01 00:00:00 UTC,7,0,1,0,3,2,7,2,2,2,1,10,1
2018-01-01 00:00:00 UTC,10,0,3,0,3,0,11,0,5,2,1,4,3
2011-03-01 00:00:00 UTC,11,1,12,0,3,0,3,3,5,1,3,7,3
2010-06-01 00:00:00 UTC,12,1,13,0,3,2,7,1,7,3,3,6,0
2008-08-01 00:00:00 UTC,13,0,5,0,3,2,8,1,2,2,2,6,1
2008-12-01 00:00:00 UTC,13,0,2,1,3,1,6,3,4,2,1,3,1
2015-09-01 00:00:00 UTC,13,0,8,0,3,0,10,2,2,4,1,17,3
2010-12-01 00:00:00 UTC,14,0,6,0,3,0,10,2,1,1,1,3,1
2010-10-01 00:00:00 UTC,15,0,5,0,3,1,9,6,2,1,1,3,0
2012-02-01 00:00:00 UTC,15,0,4,0,3,2,2,3,6,5,4,11,2
2008-10-01 00:00:00 UTC,13,0,2,0,4,2,9,4,1,3,2,9,0
2009-03-01 00:00:00 UTC,15,0,7,0,4,3,13,7,4,1,2,7,0
2016-01-01 00:00:00 UTC,6,0,8,0,1,1,8,1,6,3,2,3,1
2016-02-01 00:00:00 UTC,6,0,13,0,1,1,5,2,5,3,2,4,2
2019-08-01 00:00:00 UTC,6,0,6,1,1,0,4,0,5,1,3,4,1
2020-02-01 00:00:00 UTC,6,0,4,0,1,0,4,0,3,1,0,3,3
2016-04-01 00:00:00 UTC,7,0,7,0,1,1,6,1,3,0,3,6,1
2019-09-01 00:00:00 UTC,7,0,10,0,1,0,6,0,4,2,3,3,1
2014-07-01 00:00:00 UTC,8,0,5,1,1,3,8,2,4,4,1,13,1
2014-09-01 00:00:00 UTC,8,0,6,0,1,3,6,4,1,4,1,8,0
2018-05-01 00:00:00 UTC,8,0,6,0,1,1,3,1,11,0,1,4,0
2020-01-01 00:00:00 UTC,8,0,3,0,1,1,1,1,8,0,1,3,1
2013-01-01 00:00:00 UTC,9,0,8,0,1,3,5,1,4,3,3,3,2
2014-11-01 00:00:00 UTC,9,0,6,1,1,2,4,1,4,3,1,9,0
2017-05-01 00:00:00 UTC,9,0,4,1,1,4,6,3,4,2,0,14,0
2019-10-01 00:00:00 UTC,9,0,4,0,1,0,2,1,4,2,2,4,1
2011-10-01 00:00:00 UTC,10,1,8,0,1,3,7,1,10,0,3,0,1
2015-10-01 00:00:00 UTC,10,0,7,2,1,6,6,1,4,0,0,5,0
2016-10-01 00:00:00 UTC,10,0,4,0,1,1,7,1,2,2,3,2,2
2019-11-01 00:00:00 UTC,10,0,4,0,1,0,11,0,5,1,1,7,2
2008-03-01 00:00:00 UTC,11,0,4,1,1,1,6,5,3,3,3,6,1
2011-01-01 00:00:00 UTC,11,0,3,0,1,0,8,1,2,3,0,2,0
2016-08-01 00:00:00 UTC,11,0,6,1,1,1,7,0,6,3,0,2,2
2011-12-01 00:00:00 UTC,12,0,9,0,1,4,6,5,6,1,2,2,3
2012-03-01 00:00:00 UTC,12,0,7,1,1,1,7,2,2,1,5,7,4
2012-07-01 00:00:00 UTC,12,0,9,0,1,3,8,1,6,2,0,4,1
2017-10-01 00:00:00 UTC,12,0,4,1,1,6,5,0,3,1,1,2,0
2018-11-01 00:00:00 UTC,12,0,8,0,1,2,6,3,2,1,3,5,0
2010-02-01 00:00:00 UTC,13,0,3,0,1,1,6,4,2,2,2,12,4
2017-01-01 00:00:00 UTC,13,0,7,0,1,1,0,0,2,2,3,6,2
2017-03-01 00:00:00 UTC,13,0,11,0,1,2,5,1,6,3,2,9,1
2018-02-01 00:00:00 UTC,13,0,5,0,1,1,4,1,3,3,0,8,2
2015-06-01 00:00:00 UTC,14,0,6,0,1,3,3,0,5,3,1,5,4
2015-08-01 00:00:00 UTC,14,0,6,0,1,6,5,1,3,1,7,2,1
2008-01-01 00:00:00 UTC,15,0,6,1,1,3,8,1,9,5,3,4,0
2014-01-01 00:00:00 UTC,15,0,6,2,1,2,11,1,4,3,1,8,3
2017-06-01 00:00:00 UTC,15,0,7,1,1,3,9,2,1,4,3,7,2
2018-06-01 00:00:00 UTC,15,0,8,0,1,2,4,2,2,0,2,3,2
2010-04-01 00:00:00 UTC,16,0,11,0,1,1,7,4,3,3,3,7,2
2012-04-01 00:00:00 UTC,16,0,7,0,1,3,16,3,7,3,6,8,4
2011-11-01 00:00:00 UTC,17,0,6,0,1,4,6,2,5,2,4,4,3
2010-05-01 00:00:00 UTC,18,0,10,0,1,1,9,5,6,7,2,12,2
2012-12-01 00:00:00 UTC,19,0,5,0,1,1,8,0,6,4,2,7,9
2013-11-01 00:00:00 UTC,19,0,4,0,1,6,3,1,4,6,2,6,1
2011-06-01 00:00:00 UTC,23,0,3,0,1,2,13,3,7,2,4,9,5
2009-02-01 00:00:00 UTC,24,0,4,0,1,1,9,3,4,2,2,10,4
2010-08-01 00:00:00 UTC,25,0,6,0,1,2,13,4,4,5,5,11,2
